FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
22217113423,Пыль газоочистки при обогащении медно-цинковых руд,0,0,0,0,0,0
22217611425,"Пыль газоочистки при проходке подземных горных выработок дроблением скальных пород, не содержащих полезные ископаемые, при добыче медно-цинковых руд",0,0,0,0,0,0
22218111394,Осадок нейтрализации карьерных и подотвальных сточных вод известковым молоком при добыче медных руд,0,0,0,0,0,0
22218211394,Отходы флокуляционной очистки подотвальных вод при добыче медноколчеданных руд,0,0,0,0,0,0
22218221394,Отходы (осадок) электрофлотокоагуляционной очистки карьерных вод при добыче медноколчеданных руд,0,0,0,0,0,0
22218311614,Ткань фильтровальная из полипропиленовых волокон фильтр-пресса очистки подотвальных вод методом флокуляции при добыче медноколчеданных руд,0,0,0,0,0,0
22220000000,Отходы добычи и обогащения никелевых и кобальтовых руд,0,0,0,0,0,0
22221000000,Отходы добычи и обогащения никелевых руд,0,0,0,0,0,0
22221199205,"Вскрышные, скальные породы, отсев песчаника при добыче медно-никелевых сульфидных руд полуострова таймыр практически неопасные",0,0,0,0,0,0
22221211395,Отходы (хвосты) флотационного обогащения медно-никелевых руд,0,0,0,0,0,0
22221299395,Отходы (хвосты) обогащения добывающей промышленности медно-никелевых сульфидных руд полуострова таймыр практически неопасные,0,0,0,0,0,0
22222000000,Отходы добычи и обогащения кобальтовых руд,0,0,0,0,0,0
22229000000,Прочие отходы добычи и обогащения никелевых и кобальтовых руд,0,0,0,0,0,0
22229811412,Отходы кобальто-никелевого концентрата с повышенным содержанием мышьяка,0,0,0,0,0,0
22230000000,Отходы добычи и обогащения алюминийсодержащего сырья (бокситов и нефелин-апатитовых руд),0,0,0,0,0,0
22231000000,Отходы добычи алюминийсодержащего сырья подземным способом,0,0,0,0,0,0
22231111205,Вмещающая (пустая) порода при проходке подземных горных выработок при добыче алюминийсодержащего сырья,0,0,0,0,0,0
22232000000,Отходы добычи алюминийсодержащего сырья открытым способом,0,0,0,0,0,0
22233000000,Отходы обогащения нефелин-апатитовых руд,0,0,0,0,0,0
22240000000,Отходы добычи руд и песков драгоценных металлов и руд редких металлов,0,0,0,0,0,0
